,goals,passes,possession,shots,shots_on_target,xg,opp_goals,opp_passes,opp_shots,opp_shots_on_target,opp_xg,Win,Draw
0,1,543.0,53.7,13.0,4.0,1.46,2,485.0,8.0,6.0,1.25,0,0
1,1,303.0,28.3,11.0,5.0,1.27,0,773.0,12.0,5.0,1.54,1,0
2,2,675.0,61.7,15.0,6.0,1.63,0,420.0,11.0,5.0,1.3,1,0
3,5,579.0,64.6,12.0,7.0,1.62,1,313.0,15.0,6.0,1.57,1,0
4,1,473.0,44.9,8.0,5.0,1.15,3,553.0,21.0,7.0,2.15,0,0
5,0,306.0,29.7,5.0,1.0,0.62,5,726.0,21.0,7.0,2.11,0,0
6,0,369.0,39.9,5.0,1.0,0.87,2,555.0,20.0,6.0,1.99,0,0
7,1,345.0,52.1,15.0,4.0,1.61,2,312.0,17.0,3.0,1.44,0,0
8,3,565.0,67.0,17.0,5.0,1.69,1,272.0,11.0,1.0,0.95,1,0
9,0,514.0,64.6,17.0,4.0,1.86,1,282.0,9.0,4.0,1.37,0,0
10,0,285.0,29.4,3.0,1.0,0.58,2,700.0,7.0,4.0,1.15,0,0
11,1,532.0,55.6,10.0,2.0,1.04,2,425.0,11.0,5.0,1.39,0,0
12,2,321.0,43.4,15.0,3.0,1.37,2,412.0,12.0,5.0,1.48,0,1
13,1,434.0,40.5,9.0,3.0,0.85,1,623.0,22.0,6.0,1.96,0,1
14,0,283.0,23.9,3.0,0.0,0.2,3,872.0,24.0,9.0,2.68,0,0
15,1,660.0,65.9,19.0,5.0,1.61,0,327.0,11.0,3.0,1.07,1,0
16,2,442.0,48.8,12.0,4.0,1.26,2,468.0,14.0,5.0,1.51,0,1
17,2,625.0,63.2,16.0,6.0,1.7,0,359.0,8.0,2.0,1.03,1,0
18,2,219.0,23.6,6.0,3.0,0.84,2,681.0,22.0,9.0,2.7,0,1
19,1,309.0,30.9,8.0,2.0,0.89,3,703.0,19.0,6.0,2.13,0,0
20,2,450.0,43.5,17.0,3.0,1.29,1,585.0,14.0,4.0,1.52,1,0
21,3,382.0,43.0,9.0,5.0,1.11,0,488.0,23.0,5.0,2.01,1,0
22,1,514.0,52.0,13.0,6.0,1.53,0,476.0,4.0,1.0,0.73,1,0
23,1,690.0,73.3,11.0,6.0,1.59,1,245.0,13.0,2.0,1.09,0,1
24,0,490.0,54.9,8.0,1.0,0.66,1,387.0,10.0,2.0,1.26,0,0
25,0,416.0,39.0,7.0,2.0,0.73,1,636.0,19.0,5.0,2.09,0,0
26,0,406.0,46.0,9.0,2.0,0.96,2,485.0,16.0,7.0,1.94,0,0
27,0,357.0,41.4,4.0,0.0,0.6,2,518.0,29.0,9.0,2.61,0,0
28,2,568.0,67.9,14.0,6.0,1.5,1,265.0,7.0,2.0,0.86,1,0
29,0,496.0,62.3,8.0,0.0,0.98,2,303.0,7.0,3.0,0.98,0,0
30,1,286.0,26.9,4.0,1.0,0.67,3,786.0,16.0,6.0,1.79,0,0
31,3,358.0,41.3,7.0,4.0,1.06,0,492.0,16.0,4.0,1.56,1,0
32,2,520.0,59.7,11.0,5.0,1.34,2,358.0,16.0,6.0,1.67,0,1
33,2,551.0,58.5,10.0,5.0,1.22,2,370.0,15.0,5.0,1.69,0,1
34,0,252.0,27.4,8.0,1.0,1.01,2,704.0,24.0,6.0,1.85,0,0
35,2,423.0,49.3,19.0,6.0,1.67,0,432.0,20.0,6.0,1.84,1,0
36,1,335.0,42.4,9.0,6.0,1.33,1,464.0,11.0,1.0,1.06,0,1
37,2,473.0,48.8,10.0,4.0,1.22,1,496.0,12.0,5.0,1.39,1,0
38,1,217.0,21.9,3.0,2.0,0.62,2,767.0,24.0,8.0,2.34,0,0
39,1,495.0,52.3,15.0,6.0,1.75,0,444.0,13.0,3.0,1.3,1,0
40,1,315.0,39.4,7.0,3.0,0.81,2,472.0,20.0,6.0,1.84,0,0
41,1,581.0,64.6,11.0,2.0,1.27,0,306.0,11.0,5.0,1.51,1,0
42,1,448.0,56.1,12.0,5.0,1.45,1,354.0,15.0,7.0,1.86,0,1
43,0,298.0,37.0,6.0,1.0,0.69,0,479.0,22.0,5.0,1.93,0,1
44,1,505.0,60.7,14.0,4.0,1.41,2,323.0,18.0,6.0,1.78,0,0
45,1,420.0,57.7,12.0,6.0,1.49,1,305.0,14.0,4.0,1.34,0,1
46,0,287.0,37.1,10.0,1.0,0.89,2,502.0,12.0,4.0,1.5,0,0
47,2,347.0,33.7,12.0,10.0,1.81,0,672.0,15.0,6.0,1.67,1,0
48,3,658.0,62.8,13.0,4.0,1.17,0,372.0,6.0,1.0,0.9,1,0
49,2,573.0,59.6,15.0,5.0,1.58,1,387.0,15.0,2.0,1.18,1,0
50,0,385.0,46.8,6.0,0.0,0.65,2,437.0,19.0,5.0,1.78,0,0
51,2,409.0,42.6,8.0,5.0,1.34,2,547.0,11.0,4.0,1.41,0,1
52,1,755.0,70.9,10.0,3.0,1.29,0,301.0,7.0,0.0,0.61,1,0
53,1,564.0,58.2,12.0,4.0,1.37,2,419.0,11.0,1.0,0.87,0,0
54,0,425.0,61.1,14.0,2.0,1.05,0,270.0,3.0,0.0,0.32,0,1
55,1,351.0,34.1,9.0,2.0,1.01,2,698.0,10.0,6.0,1.53,0,0
56,2,334.0,44.7,16.0,2.0,1.37,1,409.0,15.0,6.0,1.9,1,0
57,2,227.0,28.3,8.0,3.0,0.89,1,552.0,23.0,6.0,2.24,1,0
58,0,555.0,58.6,11.0,2.0,1.2,1,380.0,11.0,3.0,1.37,0,0
59,5,480.0,49.9,14.0,7.0,1.59,0,470.0,8.0,1.0,0.87,1,0
60,0,349.0,54.0,14.0,2.0,1.17,2,280.0,14.0,7.0,1.85,0,0
61,0,496.0,59.4,9.0,1.0,1.18,2,343.0,12.0,5.0,1.49,0,0
62,1,519.0,57.7,18.0,4.0,1.56,2,373.0,14.0,4.0,1.37,0,0
63,1,625.0,69.3,17.0,2.0,1.39,3,281.0,12.0,6.0,1.41,0,0
64,0,305.0,30.0,7.0,1.0,0.83,4,738.0,22.0,5.0,1.69,0,0
65,0,495.0,56.7,12.0,2.0,1.27,1,384.0,8.0,1.0,0.91,0,0
66,2,391.0,44.0,6.0,3.0,0.97,0,498.0,16.0,4.0,1.7,1,0
67,1,233.0,26.5,8.0,5.0,1.1,0,624.0,15.0,5.0,1.94,1,0
68,1,335.0,33.0,9.0,2.0,0.97,3,705.0,13.0,5.0,1.51,0,0
69,0,264.0,29.7,4.0,0.0,0.43,1,623.0,15.0,3.0,1.46,0,0
70,2,255.0,28.5,10.0,3.0,1.04,3,663.0,17.0,8.0,1.98,0,0
71,0,633.0,62.2,13.0,3.0,1.41,2,389.0,10.0,4.0,1.11,0,0
72,2,398.0,53.3,14.0,8.0,1.85,4,360.0,10.0,5.0,1.16,0,0
73,1,227.0,23.2,6.0,2.0,0.91,4,766.0,18.0,7.0,1.86,0,0
74,1,363.0,41.6,7.0,2.0,0.71,0,494.0,15.0,2.0,1.43,1,0
75,0,400.0,35.3,9.0,3.0,1.08,3,736.0,28.0,9.0,2.4,0,0
76,2,598.0,63.7,12.0,2.0,1.09,1,327.0,4.0,2.0,0.7,1,0
77,2,356.0,39.6,17.0,10.0,1.9,1,549.0,11.0,3.0,1.03,1,0
78,2,520.0,57.1,9.0,6.0,1.36,1,387.0,14.0,5.0,1.41,1,0
79,2,423.0,51.1,12.0,4.0,1.26,2,403.0,10.0,3.0,1.32,0,1
80,2,294.0,37.8,9.0,4.0,0.9,1,472.0,13.0,2.0,1.41,1,0
81,3,327.0,35.9,15.0,5.0,1.36,4,605.0,16.0,5.0,1.61,0,0
82,0,305.0,48.7,12.0,6.0,1.22,0,314.0,12.0,1.0,1.03,0,1
83,2,429.0,37.7,15.0,6.0,1.61,3,720.0,24.0,11.0,2.47,0,0
84,1,299.0,42.0,15.0,4.0,1.33,2,423.0,13.0,7.0,1.69,0,0
85,0,500.0,57.2,11.0,3.0,1.53,2,382.0,6.0,2.0,0.81,0,0
86,1,435.0,40.4,10.0,3.0,1.04,3,629.0,25.0,11.0,2.75,0,0
87,2,321.0,39.0,12.0,5.0,1.31,1,494.0,11.0,5.0,1.39,1,0
88,0,582.0,61.5,9.0,1.0,1.1,2,359.0,10.0,4.0,1.42,0,0
89,0,647.0,64.3,13.0,1.0,1.52,2,355.0,13.0,5.0,1.64,0,0
90,3,304.0,29.4,9.0,3.0,0.9,4,734.0,19.0,9.0,2.49,0,0
91,1,391.0,44.0,7.0,3.0,1.04,2,507.0,20.0,5.0,1.71,0,0
92,0,325.0,46.5,9.0,1.0,0.98,3,375.0,16.0,6.0,1.65,0,0
93,1,473.0,60.6,7.0,2.0,0.93,2,302.0,11.0,4.0,1.24,0,0
94,0,330.0,45.2,12.0,3.0,1.41,0,412.0,9.0,4.0,1.15,0,1
95,3,447.0,54.4,16.0,6.0,1.79,4,381.0,12.0,7.0,1.5,0,0
96,0,383.0,44.9,5.0,0.0,0.63,0,456.0,21.0,4.0,2.1,0,1
97,1,404.0,45.8,10.0,4.0,1.14,1,457.0,15.0,6.0,1.61,0,1
98,0,615.0,73.1,9.0,2.0,1.2,2,218.0,12.0,5.0,1.07,0,0
99,0,395.0,35.0,5.0,2.0,0.76,5,737.0,23.0,7.0,2.14,0,0
100,0,608.0,62.7,8.0,0.0,0.88,2,346.0,17.0,6.0,1.61,0,0
101,3,306.0,36.0,8.0,4.0,1.01,1,534.0,13.0,4.0,1.19,1,0
102,0,295.0,28.4,8.0,2.0,0.78,1,744.0,21.0,4.0,1.86,0,0
103,1,809.0,82.0,23.0,7.0,2.36,0,176.0,0.0,0.0,0.11,1,0
104,0,413.0,47.3,6.0,4.0,0.87,1,455.0,14.0,4.0,1.53,0,0
105,3,348.0,43.7,10.0,4.0,1.19,1,422.0,18.0,4.0,1.86,1,0
106,2,282.0,35.8,9.0,3.0,1.16,3,511.0,16.0,6.0,1.88,0,0
107,1,334.0,39.8,9.0,4.0,1.1,1,508.0,11.0,3.0,1.32,0,1
108,0,422.0,44.2,17.0,2.0,1.05,2,538.0,10.0,4.0,1.17,0,0
109,0,354.0,43.7,12.0,4.0,1.54,2,473.0,13.0,6.0,1.49,0,0
110,1,457.0,51.0,17.0,5.0,1.6,0,445.0,15.0,5.0,1.49,1,0
111,2,459.0,54.3,11.0,6.0,1.47,1,378.0,13.0,3.0,1.15,1,0
112,0,379.0,39.3,10.0,4.0,1.06,1,582.0,15.0,4.0,1.58,0,0
113,1,417.0,56.6,15.0,3.0,1.37,3,320.0,15.0,6.0,1.45,0,0
114,2,425.0,50.7,11.0,5.0,1.51,2,410.0,11.0,3.0,1.34,0,1
115,0,297.0,31.8,5.0,0.0,0.5,0,615.0,23.0,5.0,2.45,0,1
116,0,346.0,42.7,8.0,4.0,1.12,0,458.0,9.0,2.0,1.15,0,1
117,2,479.0,59.5,9.0,4.0,1.15,4,313.0,22.0,5.0,1.85,0,0
118,2,371.0,37.7,7.0,4.0,1.14,2,611.0,21.0,6.0,1.96,0,1
119,1,585.0,52.2,11.0,2.0,1.0,0,521.0,13.0,1.0,1.06,1,0
120,0,302.0,30.9,5.0,0.0,0.48,5,679.0,24.0,10.0,2.33,0,0
121,1,247.0,32.0,8.0,2.0,0.93,0,504.0,27.0,6.0,2.38,1,0
122,1,506.0,56.0,10.0,2.0,0.92,0,377.0,13.0,4.0,1.62,1,0
123,2,550.0,55.2,9.0,3.0,0.95,0,420.0,10.0,1.0,1.06,1,0
124,0,392.0,42.8,10.0,5.0,1.33,2,541.0,14.0,3.0,1.33,0,0
125,1,357.0,39.9,7.0,2.0,0.93,3,553.0,11.0,6.0,1.31,0,0
126,5,640.0,74.3,17.0,9.0,1.88,1,209.0,9.0,3.0,1.17,1,0
127,1,262.0,27.9,8.0,3.0,1.04,0,693.0,17.0,5.0,2.07,1,0
128,3,329.0,37.7,13.0,6.0,1.53,1,523.0,16.0,5.0,1.49,1,0
129,3,213.0,21.7,5.0,3.0,0.77,2,733.0,19.0,5.0,2.25,1,0
130,0,463.0,46.5,4.0,2.0,0.65,0,499.0,9.0,0.0,0.87,0,1
131,2,380.0,48.4,11.0,5.0,1.28,0,381.0,18.0,7.0,1.92,1,0
132,2,658.0,71.4,16.0,7.0,1.71,1,255.0,8.0,4.0,1.08,1,0
133,0,604.0,62.4,19.0,5.0,1.6,4,360.0,12.0,5.0,1.24,0,0
134,5,799.0,78.6,21.0,10.0,2.14,0,218.0,2.0,2.0,0.54,1,0
135,0,299.0,38.1,6.0,3.0,0.94,0,481.0,16.0,4.0,1.57,0,1
136,1,335.0,39.3,11.0,6.0,1.55,1,524.0,15.0,3.0,1.26,0,1
137,1,357.0,38.0,9.0,2.0,0.92,3,589.0,18.0,8.0,1.9,0,0
138,0,479.0,39.4,7.0,1.0,0.61,3,750.0,12.0,4.0,1.41,0,0
139,1,379.0,35.5,11.0,8.0,1.71,1,684.0,15.0,6.0,1.57,0,1
140,1,468.0,55.4,10.0,2.0,1.11,1,370.0,10.0,3.0,1.29,0,1
141,1,504.0,69.5,17.0,6.0,1.75,2,214.0,10.0,4.0,1.28,0,0
142,4,289.0,34.6,7.0,5.0,1.15,1,541.0,27.0,5.0,2.06,1,0
143,0,480.0,45.7,3.0,0.0,0.37,2,549.0,29.0,12.0,2.99,0,0
144,1,369.0,45.4,8.0,3.0,1.11,1,431.0,14.0,3.0,1.44,0,1
145,0,220.0,29.3,7.0,1.0,0.78,1,517.0,16.0,8.0,2.04,0,0
146,2,600.0,62.8,19.0,8.0,2.09,3,370.0,10.0,5.0,1.28,0,0
147,0,351.0,40.2,13.0,2.0,1.23,0,509.0,12.0,5.0,1.63,0,1
148,1,549.0,60.1,13.0,2.0,1.08,3,369.0,18.0,9.0,2.07,0,0
149,3,637.0,63.7,10.0,7.0,1.56,0,360.0,5.0,1.0,0.78,1,0
150,4,839.0,69.3,9.0,6.0,1.42,0,359.0,9.0,1.0,0.97,1,0
151,2,389.0,50.1,11.0,3.0,1.16,2,382.0,17.0,5.0,1.75,0,1
152,1,341.0,38.5,13.0,5.0,1.44,3,544.0,17.0,10.0,2.01,0,0
153,0,289.0,42.0,14.0,4.0,1.47,0,396.0,5.0,1.0,0.76,0,1
154,0,327.0,30.0,6.0,2.0,0.76,1,765.0,22.0,8.0,2.26,0,0
155,2,425.0,48.3,8.0,5.0,1.23,1,447.0,11.0,5.0,1.54,1,0
156,1,644.0,71.1,18.0,6.0,1.84,1,260.0,11.0,2.0,0.96,0,1
157,1,488.0,50.2,9.0,1.0,0.66,1,461.0,9.0,2.0,1.19,0,1
158,0,543.0,63.9,22.0,3.0,1.68,0,313.0,8.0,0.0,0.69,0,1
159,0,220.0,27.0,13.0,8.0,1.67,1,623.0,8.0,2.0,1.06,0,0
160,3,459.0,55.6,9.0,5.0,1.32,3,351.0,22.0,7.0,2.11,0,1
161,1,351.0,37.0,16.0,7.0,1.74,0,614.0,14.0,4.0,1.39,1,0
162,2,386.0,43.5,11.0,4.0,1.23,1,495.0,10.0,1.0,1.0,1,0
163,0,523.0,60.1,25.0,7.0,2.16,1,362.0,7.0,1.0,0.82,0,0
164,3,495.0,48.0,12.0,5.0,1.67,0,547.0,11.0,1.0,1.14,1,0
165,1,327.0,35.8,11.0,3.0,1.16,1,552.0,21.0,7.0,2.5,0,1
166,1,207.0,20.4,2.0,1.0,0.53,4,818.0,19.0,7.0,2.06,0,0
167,0,414.0,49.8,6.0,0.0,0.63,0,405.0,22.0,4.0,1.97,0,1
168,0,498.0,51.9,13.0,7.0,1.6,3,467.0,12.0,6.0,1.66,0,0
169,0,427.0,55.2,13.0,4.0,1.47,1,349.0,11.0,3.0,1.09,0,0
170,0,529.0,56.5,9.0,5.0,1.14,1,395.0,14.0,5.0,1.61,0,0
171,1,273.0,37.8,12.0,3.0,1.18,0,448.0,16.0,7.0,1.62,1,0
172,1,551.0,52.1,8.0,2.0,0.9,5,511.0,15.0,10.0,2.0,0,0
173,3,413.0,39.2,11.0,4.0,1.33,1,664.0,10.0,3.0,1.19,1,0
174,1,326.0,37.3,8.0,2.0,0.97,1,566.0,12.0,5.0,1.46,0,1
175,0,298.0,36.5,14.0,5.0,1.53,2,542.0,9.0,2.0,1.22,0,0
176,1,616.0,52.8,13.0,6.0,1.78,1,558.0,10.0,4.0,1.17,0,1
177,0,391.0,48.8,6.0,0.0,0.64,3,388.0,19.0,6.0,1.68,0,0
178,2,388.0,47.3,10.0,6.0,1.41,0,420.0,9.0,5.0,1.38,1,0
179,0,210.0,19.9,4.0,1.0,0.46,2,850.0,28.0,8.0,2.75,0,0
180,2,525.0,58.5,12.0,5.0,1.36,0,376.0,6.0,1.0,0.73,1,0
181,1,457.0,51.0,9.0,4.0,1.2,3,455.0,8.0,3.0,1.13,0,0
182,0,444.0,51.2,17.0,6.0,1.5,2,425.0,14.0,6.0,1.6,0,0
183,2,447.0,51.3,18.0,8.0,1.95,1,412.0,18.0,7.0,1.62,1,0
184,1,356.0,38.2,13.0,4.0,1.29,1,586.0,12.0,4.0,1.48,0,1
185,1,403.0,59.9,13.0,5.0,1.49,0,271.0,11.0,2.0,1.34,1,0
186,1,315.0,38.5,5.0,3.0,0.74,3,491.0,14.0,3.0,1.67,0,0
187,0,452.0,58.1,16.0,1.0,1.33,1,326.0,10.0,2.0,0.97,0,0
188,2,312.0,37.2,6.0,3.0,0.74,4,527.0,22.0,10.0,2.39,0,0
189,3,505.0,51.4,10.0,8.0,1.52,2,458.0,16.0,7.0,1.73,1,0
190,1,346.0,39.8,8.0,2.0,0.99,0,525.0,14.0,1.0,1.23,1,0
191,0,534.0,62.8,8.0,1.0,0.89,2,322.0,6.0,1.0,0.66,0,0
192,0,449.0,51.5,15.0,5.0,1.58,2,423.0,19.0,5.0,1.53,0,0
193,2,679.0,65.4,24.0,7.0,2.09,0,359.0,5.0,0.0,0.46,1,0
194,0,423.0,41.2,8.0,2.0,0.98,2,605.0,18.0,4.0,1.66,0,0
195,1,399.0,48.5,20.0,8.0,2.13,2,431.0,8.0,5.0,1.23,0,0
196,2,431.0,50.7,17.0,9.0,1.99,0,420.0,3.0,1.0,0.77,1,0
197,0,404.0,46.4,11.0,5.0,1.31,1,439.0,20.0,6.0,1.93,0,0
198,3,446.0,60.7,21.0,7.0,1.89,2,276.0,18.0,8.0,1.93,1,0
199,3,677.0,69.1,11.0,4.0,1.36,2,294.0,14.0,7.0,1.46,1,0
200,0,384.0,43.7,11.0,1.0,0.8,3,520.0,17.0,6.0,1.68,0,0
201,0,601.0,60.8,6.0,2.0,0.79,1,376.0,19.0,6.0,1.89,0,0
202,3,284.0,40.1,10.0,3.0,1.21,1,441.0,10.0,2.0,1.04,1,0
203,4,467.0,55.2,18.0,9.0,2.05,1,369.0,10.0,4.0,1.16,1,0
204,1,392.0,46.2,3.0,1.0,0.67,0,436.0,18.0,5.0,1.83,1,0
205,1,580.0,68.2,18.0,2.0,1.32,1,275.0,6.0,3.0,0.76,0,1
206,1,314.0,32.9,7.0,2.0,0.95,0,641.0,11.0,4.0,1.48,1,0
207,2,423.0,48.7,17.0,8.0,1.92,1,461.0,8.0,2.0,0.99,1,0
