,goals,passes,possession,shots,shots_on_target,xg,opp_goals,opp_passes,opp_shots,opp_shots_on_target,opp_xg,Win,Draw
0,1,251,50,1,0,0.02,5,683,15,10,2.15,0,0
1,3,452,50,10,7,2.33,1,438,5,2,1.25,1,0
2,0,517,50,13,5,2.38,3,457,8,5,2.01,0,0
3,1,372,50,6,1,0.5,2,809,10,5,1.56,0,0
4,2,579,50,18,4,1.46,1,295,11,7,1.32,1,0
5,1,658,50,10,4,1.66,1,311,9,2,1.1,0,1
6,1,588,50,4,3,0.52,0,504,3,1,0.18,1,0
7,0,591,50,7,2,0.75,3,237,7,5,1.2,0,0
8,1,367,50,8,4,0.57,0,573,11,5,1.7,1,0
9,1,453,50,9,3,2.13,0,476,5,3,0.76,1,0
10,1,441,50,11,5,1.37,3,573,15,8,3.01,0,0
11,1,257,50,3,1,0.43,2,704,12,8,1.85,0,0
12,2,311,50,9,7,1.46,2,634,17,10,2.68,0,1
13,0,308,50,8,4,1.18,2,718,12,7,1.4,0,0
14,1,420,50,10,4,1.13,1,374,8,3,0.76,0,1
15,1,527,50,7,4,1.64,1,346,8,4,1.37,0,1
16,1,528,50,11,4,0.87,1,548,11,7,0.82,0,1
17,0,440,50,4,1,0.16,1,590,17,9,2.02,0,0
18,2,419,50,8,5,1.51,1,534,9,5,0.86,1,0
19,3,443,50,11,9,2.13,1,390,8,3,1.68,1,0
20,0,660,50,10,3,1.43,0,398,4,4,0.47,0,1
21,1,493,50,20,12,3.07,1,310,4,1,1.11,0,1
22,3,566,50,10,3,1.86,0,433,7,3,0.72,1,0
23,0,352,50,12,5,0.94,2,431,14,9,1.76,0,0
24,1,357,50,12,5,1.22,0,501,1,0,0.17,1,0
25,1,636,50,13,3,1.56,1,331,4,3,0.6,0,1
26,1,577,50,12,3,1.51,0,407,7,4,0.48,1,0
27,1,569,50,5,3,0.9,1,504,4,4,1.49,0,1
28,1,405,50,8,3,1.16,1,548,11,8,2.32,0,1
29,3,404,50,6,5,0.95,2,428,8,2,1.73,1,0
30,0,488,50,4,1,0.29,0,562,8,3,0.67,0,1
31,0,275,50,3,1,0.15,0,746,8,4,0.8,0,1
32,1,323,50,9,5,1.19,1,437,11,4,0.86,0,1
33,0,564,50,8,4,0.88,0,374,9,4,0.82,0,1
34,2,512,50,11,5,1.46,1,229,10,7,1.62,1,0
35,0,690,50,14,5,2.04,2,270,6,3,1.65,0,0
36,0,520,50,8,1,0.73,2,513,9,4,1.25,0,0
37,0,435,50,6,2,1.18,2,536,14,9,2.58,0,0
38,1,472,50,10,3,2.15,2,808,9,2,1.52,0,0
39,1,263,50,3,0,0.25,4,792,24,13,3.36,0,0
40,0,496,50,3,2,0.23,1,609,18,2,1.06,0,0
41,0,305,50,8,2,0.6,0,770,14,6,1.97,0,1
42,3,500,50,17,6,2.93,0,271,4,1,0.28,1,0
43,2,379,50,5,3,0.92,1,564,14,5,3.14,1,0
44,1,588,50,16,5,2.15,2,576,15,6,1.41,0,0
45,0,586,50,14,5,1.14,0,869,9,4,1.84,0,1
46,1,623,50,9,3,1.47,1,670,5,3,0.65,0,1
47,1,361,50,12,4,1.31,2,536,8,4,1.09,0,0
48,1,339,50,6,3,1.1,2,500,4,2,0.75,0,0
49,2,589,50,7,5,1.25,1,414,5,2,0.54,1,0
