,goals,passes,possession,shots,shots_on_target,xg,opp_goals,opp_passes,opp_shots,opp_shots_on_target,opp_xg,Win,Draw
0,2,485.0,46.3,8.0,6.0,1.25,1,543.0,13.0,4.0,1.46,1,0
1,0,773.0,71.7,12.0,5.0,1.54,1,303.0,11.0,5.0,1.27,0,0
2,0,420.0,38.3,11.0,5.0,1.3,2,675.0,15.0,6.0,1.63,0,0
3,1,313.0,35.4,15.0,6.0,1.57,5,579.0,12.0,7.0,1.62,0,0
4,3,553.0,55.1,21.0,7.0,2.15,1,473.0,8.0,5.0,1.15,1,0
5,5,726.0,70.3,21.0,7.0,2.11,0,306.0,5.0,1.0,0.62,1,0
6,2,555.0,60.1,20.0,6.0,1.99,0,369.0,5.0,1.0,0.87,1,0
7,2,312.0,47.9,17.0,3.0,1.44,1,345.0,15.0,4.0,1.61,1,0
8,1,272.0,33.0,11.0,1.0,0.95,3,565.0,17.0,5.0,1.69,0,0
9,1,282.0,35.4,9.0,4.0,1.37,0,514.0,17.0,4.0,1.86,1,0
10,2,700.0,70.6,7.0,4.0,1.15,0,285.0,3.0,1.0,0.58,1,0
11,2,425.0,44.4,11.0,5.0,1.39,1,532.0,10.0,2.0,1.04,1,0
12,2,412.0,56.6,12.0,5.0,1.48,2,321.0,15.0,3.0,1.37,0,1
13,1,623.0,59.5,22.0,6.0,1.96,1,434.0,9.0,3.0,0.85,0,1
14,3,872.0,76.1,24.0,9.0,2.68,0,283.0,3.0,0.0,0.2,1,0
15,0,327.0,34.1,11.0,3.0,1.07,1,660.0,19.0,5.0,1.61,0,0
16,2,468.0,51.2,14.0,5.0,1.51,2,442.0,12.0,4.0,1.26,0,1
17,0,359.0,36.8,8.0,2.0,1.03,2,625.0,16.0,6.0,1.7,0,0
18,2,681.0,76.4,22.0,9.0,2.7,2,219.0,6.0,3.0,0.84,0,1
19,3,703.0,69.1,19.0,6.0,2.13,1,309.0,8.0,2.0,0.89,1,0
20,1,585.0,56.5,14.0,4.0,1.52,2,450.0,17.0,3.0,1.29,0,0
