,goals,passes,possession,shots,shots_on_target,xg,opp_goals,opp_passes,opp_shots,opp_shots_on_target,opp_xg,Win,Draw
0,5,683,50,15,10,2.15,1,251,1,0,0.02,1,0
1,1,438,50,5,2,1.25,3,452,10,7,2.33,0,0
2,3,457,50,8,5,2.01,0,517,13,5,2.38,1,0
3,2,809,50,10,5,1.56,1,372,6,1,0.5,1,0
4,1,295,50,11,7,1.32,2,579,18,4,1.46,0,0
5,1,311,50,9,2,1.1,1,658,10,4,1.66,0,1
6,0,504,50,3,1,0.18,1,588,4,3,0.52,0,0
7,3,237,50,7,5,1.2,0,591,7,2,0.75,1,0
8,0,573,50,11,5,1.7,1,367,8,4,0.57,0,0
9,0,476,50,5,3,0.76,1,453,9,3,2.13,0,0
10,3,573,50,15,8,3.01,1,441,11,5,1.37,1,0
11,2,704,50,12,8,1.85,1,257,3,1,0.43,1,0
12,2,634,50,17,10,2.68,2,311,9,7,1.46,0,1
13,2,718,50,12,7,1.4,0,308,8,4,1.18,1,0
14,1,374,50,8,3,0.76,1,420,10,4,1.13,0,1
15,1,346,50,8,4,1.37,1,527,7,4,1.64,0,1
16,1,548,50,11,7,0.82,1,528,11,4,0.87,0,1
17,1,590,50,17,9,2.02,0,440,4,1,0.16,1,0
18,1,534,50,9,5,0.86,2,419,8,5,1.51,0,0
19,1,390,50,8,3,1.68,3,443,11,9,2.13,0,0
20,0,398,50,4,4,0.47,0,660,10,3,1.43,0,1
21,1,310,50,4,1,1.11,1,493,20,12,3.07,0,1
22,0,433,50,7,3,0.72,3,566,10,3,1.86,0,0
23,2,431,50,14,9,1.76,0,352,12,5,0.94,1,0
24,0,501,50,1,0,0.17,1,357,12,5,1.22,0,0
25,1,331,50,4,3,0.6,1,636,13,3,1.56,0,1
26,0,407,50,7,4,0.48,1,577,12,3,1.51,0,0
27,1,504,50,4,4,1.49,1,569,5,3,0.9,0,1
28,1,548,50,11,8,2.32,1,405,8,3,1.16,0,1
29,2,428,50,8,2,1.73,3,404,6,5,0.95,0,0
30,0,562,50,8,3,0.67,0,488,4,1,0.29,0,1
31,0,746,50,8,4,0.8,0,275,3,1,0.15,0,1
32,1,437,50,11,4,0.86,1,323,9,5,1.19,0,1
33,0,374,50,9,4,0.82,0,564,8,4,0.88,0,1
34,1,229,50,10,7,1.62,2,512,11,5,1.46,0,0
35,2,270,50,6,3,1.65,0,690,14,5,2.04,1,0
36,2,513,50,9,4,1.25,0,520,8,1,0.73,1,0
37,2,536,50,14,9,2.58,0,435,6,2,1.18,1,0
38,2,808,50,9,2,1.52,1,472,10,3,2.15,1,0
39,4,792,50,24,13,3.36,1,263,3,0,0.25,1,0
40,1,609,50,18,2,1.06,0,496,3,2,0.23,1,0
41,0,770,50,14,6,1.97,0,305,8,2,0.6,0,1
42,0,271,50,4,1,0.28,3,500,17,6,2.93,0,0
43,1,564,50,14,5,3.14,2,379,5,3,0.92,0,0
44,2,576,50,15,6,1.41,1,588,16,5,2.15,1,0
45,0,869,50,9,4,1.84,0,586,14,5,1.14,0,1
46,1,670,50,5,3,0.65,1,623,9,3,1.47,0,1
47,2,536,50,8,4,1.09,1,361,12,4,1.31,1,0
48,2,500,50,4,2,0.75,1,339,6,3,1.1,1,0
49,1,414,50,5,2,0.54,2,589,7,5,1.25,0,0
